community__name,community__gnis_feature_id,community__census_code,community__census_area__name,community__census_area__gnis_feature_id,community__census_area__census_code,community__census_area__county_code,community__census_area__historical,community__census_area__notes,community__alaska_native_regional_corporation__name,community__latitude,community__longitude,community__aea_energy_region__name,community__dcra_community_id,year,total_population
Seldovia Village,1865565,68370,Kenai Peninsula Borough,1419972,99122,122,0,,,59.4780556,-151.6519444,,6b89345a-3538-4162-8ad2-0d74ec8bc86d,2004,156
Flat,1402165,25880,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,62.4536111,-158.0075000,,816af04c-f775-4c58-b8f9-d7ecd8f8dd02,2004,0
Galena,1402457,27530,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",64.7333333,-156.9275000,Yukon-Koyukuk/Upper Tanana,25bf6c14-97ff-404b-a0f6-edfe2f1b6727,2004,680
Haines,1422400,31050,Haines Borough,1419970,99100,100,0,,,59.2285890,-135.4441140,Southeast,405c7c19-f64b-4b6a-8175-f1c6eaa71b88,2004,1682
Koliganek,1404914,41500,Dillingham Census Area,1419968,99070,70,0,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384.",Bristol Bay Native Corporation,59.7286111,-157.2844444,Bristol Bay,89f05e8d-5f77-44d3-9207-a9a1a6dd5f22,2004,189
Hoonah,1403488,33360,Hoonah-Angoon Census Area,2371430,33390,105,0,"Created from the remainder of the former Skagway-Hoonah-Angoon Census Area (02-232) when the new Skagway Municipality (02-230) was created effective June 20, 2007; population: 2,574. Part taken to create new Petersburg Borough (02-195) effective January 3, 2013; estimated detached population: 1.",Sealaska Corporation,58.1100000,-135.4436111,Southeast,7b1783c7-a548-47fe-b944-dc9bb6ebfc0d,2004,802
Naukati Bay,1866964,52845,Prince of Wales-Hyder Census Area,1419980,99198,198,0,"Created from the remainder of the former Prince of Wales-Outer Ketchikan Census Area (02-201) after part (Outer Ketchikan area) was annexed by Ketchikan Gateway Borough (02-130) effective May 19, 2008, and part (Meyers Chuck area) included in the new Wrangell City and Borough effective June 1, 2008; estimated population: 6,115. Prince of Wales-Hyder Census Area (02-198) added part of the former Petersburg Census Area (02-195) effective January 3, 2013; estimated added population 613.",,55.8736111,-133.1847222,Southeast,0fccde8e-a67e-4239-9a4e-a2a7fc6c4333,2004,104
Silver Springs,2419219,70320,Valdez-Cordova Census Area,1419984,99261,261,0,,,62.0191984,-145.3554100,Copper River/Chugach,a4f32b34-e7d4-46ab-9892-0d1808020935,2004,87
Chignik,1400269,13550,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,56.2952778,-158.4022222,Bristol Bay,157ef888-ad6e-4979-9e3b-1cd2bbfc709b,2004,105
Palmer,1407737,58660,Matanuska-Susitna Borough,1419976,99170,170,0,,,61.5997222,-149.1127778,Railbelt,8843531a-c888-4166-a63d-e3fee6c8887f,2004,5472
Lazy Mountain,1866958,43260,Matanuska-Susitna Borough,1419976,99170,170,0,,,61.6261111,-148.9455556,Railbelt,788d9f67-f546-4672-830f-75f4237c073c,2004,1257
Ivanof Bay,1894909,35890,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,55.9000000,-159.4833333,,8a27cce3-5720-43b2-9258-c5f2fdb986af,2004,11
Whittier,1415757,84510,Valdez-Cordova Census Area,1419984,99261,261,0,,Chugach Alaska Corporation,60.7730556,-148.6838889,Railbelt,52b88c78-4ad3-40dc-9084-2fba9736f94d,2004,204
Harding-Birch Lakes,2418611,31765,Fairbanks North Star Borough,1419969,99090,90,0,,,64.3714024,-146.5991000,Railbelt,dfb10845-1444-4f28-9dc3-7f68bcb4d798,2004,249
Hollis,1866952,32810,Prince of Wales-Hyder Census Area,1419980,99198,198,0,"Created from the remainder of the former Prince of Wales-Outer Ketchikan Census Area (02-201) after part (Outer Ketchikan area) was annexed by Ketchikan Gateway Borough (02-130) effective May 19, 2008, and part (Meyers Chuck area) included in the new Wrangell City and Borough effective June 1, 2008; estimated population: 6,115. Prince of Wales-Hyder Census Area (02-198) added part of the former Petersburg Census Area (02-195) effective January 3, 2013; estimated added population 613.",,55.5566667,-132.6363889,Southeast,1d27dec8-755e-4915-a92f-130c0547f498,2004,116
College,1400578,16750,Fairbanks North Star Borough,1419969,99090,90,0,,,64.8569444,-147.8027778,Railbelt,1bab1b61-6967-4716-9d25-35cd06f3c5d2,2004,12103
South Naknek,1409961,72190,Bristol Bay Borough,1419967,99060,60,0,,Bristol Bay Native Corporation,58.7155556,-156.9980556,Bristol Bay,30ff920d-849e-4326-9fb2-4bffd8704967,2004,104
Akutan,1418123,1090,Aleutians East Borough,1419964,99013,13,0,"Created from part of the former Aleutian Islands Census Area (02-010) effective October 23, 1987. The remainder of the former Aleutian Islands Census Area was established as the new Aleutians West Census Area (02-016); 1980 population: 1,643.",Aleut Corporation,54.1355556,-165.7730556,Aleutians,e569dafa-a01c-4f00-92c2-b27d9ee32ea8,2004,767
Northway Village,1407254,56260,Southeast Fairbanks Census Area,1419983,99240,240,0,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990.",,62.9822222,-141.9516667,Yukon-Koyukuk/Upper Tanana,b6650fff-672c-46af-90c1-3f157a4ab13e,2004,96
Saxman,1414511,67570,Ketchikan Gateway Borough,1419973,99130,130,0,"Annexed a substantial portion of the former Prince of Wales-Outer Ketchikan Census Area (02-201), including most of the area known as Outer Ketchikan effective May 19, 2008; estimated added population: 7. As a result, the remaining area of the former Prince of Wales-Outer Ketchikan Census Area was renamed Prince of Wales-Hyder Census Area (02-198).",Sealaska Corporation,55.3183333,-131.5958333,,8b6e1134-d36c-4559-8c38-1b117d97d48b,2004,385
Dillingham,1401203,18950,Dillingham Census Area,1419968,99070,70,0,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384.",Bristol Bay Native Corporation,59.0397222,-158.4575000,Bristol Bay,44c25e97-55c1-4587-b3f6-8e4e27bf5c65,2004,2396
